"Title","Explosive_List_Corrected","Year","Country"
"HYDRIDE MEDIATED REDUCTION OF 2 4 6 TRINITROTOLUENE BY YEASTS AS THE WAY TO ITS DEEP DEGRADATION","2,4-Dinitrotoluene (DNT);2,4,6-Trinitrotoluene (TNT);Dinitrotoluene (DNT)",2007,"Russia,USA"
"HYDROGEL BASED ELECTROCHEMICAL GAS SENSOR FOR EXPLOSIVE MATERIAL DETECTION","2,4,6-Trinitrotoluene (TNT);Pentaerythritol Tetranitrate (PETN);",2019,"Thailand"
"HYDROGEN AS A GC MS CARRIER AND BUFFER GAS FOR USE IN FORENSIC LABORATORIES","2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);Hexamethylene Triperoxide Diamine (HMTD);",2015,"USA"
"HYDROGEN BONDING INTERACTIONS AND PROPERTIES OF ENERGETIC NITROAMINO 1 3 5 TRIAZINE BASED GUANIDINIUM SALTS DFT D AND QTAIM STUDIES","",2012,"China"
"HYDROGEN PEROXIDE VAPOR SENSOR USING METAL PHTHALOCYANINE FUNCTIONALIZED CARBON NANOTUBES","",2011,"India"
"HYDROGEN SENSORS A REVIEW","",2011,"Germany,Netherlands"
"HYPER CROSSLINKED 4 AMINO 1 8 NAPHTHALIMIDE TRÖGER S BASE CONTAINING PYRIDINIUM COVALENT ORGANIC POLYMER COP FOR DISCRIMINATIVE FLUORESCENT SENSING OF CHEMICAL EXPLOSIVES","Picric Acid (PA);",2020,"Ireland,India"
"HYPERBRANCHED CONJUGATED POLY TETRAPHENYLETHENE SYNTHESIS AGGREGATION INDUCED EMISSION FLUORESCENT PHOTOPATTERNING OPTICAL LIMITING AND EXPLOSIVE DETECTION","Picric Acid (PA);",2012,"China"
"HYPERBRANCHED COPOLYMER BASED PHOTOLUMINESCENT VESICULAR PROBE CONJUGATED WITH TETRAPHENYLETHENE SYNTHESIS AGGREGATION INDUCED EMISSION AND EXPLOSIVE DETECTION","Picric Acid (PA);",2020,"China,Slovenia,Saudi Arabia"
"HYPERBRANCHED POLYTRIAZOLES WITH AGGREGATION INDUCED EMISSION PERFORMANCE FOR DETECTION OF POLYNITRO EXPLOSIVES","",2011,NA
"HYPERFAST FLOW FIELD THERMAL GRADIENT GC MS OF EXPLOSIVES WITH REDUCED ELUTION TEMPERATURES","2,4,6-Trinitrotoluene (TNT);Dinitrotoluene (DNT);Erythritol Tetranitrate (ETN);Ethylene Glycol Dinitrate (EGDN);Nitroglycerin (NG);Pentaerythritol Tetranitrate (PETN);",2018,"Germany,Luxembourg"
"HYPERSPECTRAL IMAGING AND REMOTE TRACE DETECTION OF CIS 1 3 4 6 TETRANITROOCTAHYDROIMIDAZO 4 5 D IMIDAZOLE BCHMX COMPARED WITH TRADITIONAL EXPLOSIVES USING LASER INDUCED FLUORESCENCE","Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Pentaerythritol Tetranitrate (PETN);",2021,"Egypt"
"HYPERSPECTRAL IMAGING ANEW PROSPECTIVE FOR REMOTE RECOGNITION OF EXPLOSIVE MATERIALS","2,4,6-Trinitrotoluene (TNT);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);",2019,"Egypt"
"HYPERSPECTRAL IMAGING USING ACTIVE INFRARED BACKSCATTER SPECTROSCOPY FOR DETECTION OF TRACE EXPLOSIVES","",2020,"USA,Korea South"
"HYPERSPECTRAL MICROSCOPY USING AN EXTERNAL CAVITY QUANTUM CASCADE LASER AND ITS APPLICATIONS FOR EXPLOSIVES DETECTION","Cyclotrimethylene-Trinitramine (RDX);Pentaerythritol Tetranitrate (PETN);Tetryl;",2012,"USA"
"IDAHO EXPLOSIVES DETECTION SYSTEM DEVELOPMENT AND ENHANCEMENTS","",2007,"USA"
"IDE GAS SENSOR BASED DENGUE VIRUS CO IMPRINTING FOR DETECTION OF 2 4 6 TRINITROTOLUENE","2,4,6-Trinitrotoluene (TNT)",2021,"Thailand"
"IDENTIFICATION AND ANALYSIS OF ORGANIC EXPLOSIVES FROM POST BLAST DEBRIS BY NUCLEAR MAGNETIC RESONANCE","2,4,6-Trinitrotoluene (TNT);Pentaerythritol Tetranitrate (PETN);Tetryl;",2021,"India"
"IDENTIFICATION AND CLASSIFICATION OF EXPLOSIVES USING SEMI SUPERVISED LEARNING AND LASER INDUCED BREAKDOWN SPECTROSCOPY","",2019,"China"
"IDENTIFICATION AND DETECTION METHOD FOR NITROAROMATIC EXPLOSIVES","",2013,NA
"IDENTIFICATION AND DETERMINATION OF INORGANIC ANIONS IN REAL EXTRACTS FROM PRE AND POST BLAST RESIDUES BY CAPILLARY ELECTROPHORESIS","",2010,"France"
"IDENTIFICATION AND DETERMINATION OF TRINITROTOLUENES AND THEIR DEGRADATION PRODUCTS USING LIQUID CHROMATOGRAPHY ELECTROSPRAY IONIZATION MASS SPECTROMETRY","2,4,6-Trinitrotoluene (TNT);Dinitrotoluene (DNT);Nitrotoluene (NT)",2010,"Czech Republic"
"IDENTIFICATION AND DIFFERENTIATION OF COMMERCIAL AND MILITARY EXPLOSIVES VIA HIGH PERFORMANCE LIQUID CHROMATOGRAPHY HIGH RESOLUTION MASS SPECTROMETRY HPLC HRMS X RAY DIFFRACTOMETRY XRD AND X RAY FLUORESCENCE SPECTROSCOPY XRF TOWARDS A FORENSIC SUBSTANCE DATABASE ON EXPLOSIVES","Composition A;Composition C;",2020,"Germany"
"IDENTIFICATION OF ANFO USE OF LUMINESCENT TAGGANTS IN POST BLAST RESIDUES","Ammonium Nitrate (AN);",2017,"Brazil"
"IDENTIFICATION OF ASCORBIC ACID AND ITS DEGRADATION PRODUCTS IN BLACK POWDER SUBSTITUTES","Black Powder",2004,"USA"
"IDENTIFICATION OF BLUE DISCOLORATION IN PBX 9404 USING ULTRAHIGH PRESSURE LIQUID CHROMATOGRAPHY WITH QUADRUPOLE TIME OF FLIGHT MASS SPECTROMETRY","Cyclotetramethylene-Tetranitramine (HMX);Nitrocellulose (NC);",2021,"USA"
"IDENTIFICATION OF CARBONATES AS ADDITIVES IN PRESSURE SENSITIVE ADHESIVE TAPE SUBSTRATE WITH FOURIER TRANSFORM INFRARED SPECTROSCOPY FTIR AND ITS APPLICATION IN THREE EXPLOSIVE CASES","",2013,"China"
"IDENTIFICATION OF CONCEALED MATERIALS INCLUDING EXPLOSIVES BY TERAHERTZ REFLECTION SPECTROSCOPY","Cyclotrimethylene-Trinitramine (RDX);",2014,"Poland"
"IDENTIFICATION OF DOMINANT ODOR CHEMICALS EMANATING FROM EXPLOSIVES FOR USE IN DEVELOPING OPTIMAL TRAINING AID COMBINATIONS AND MIMICS FOR CANINE DETECTION","2,4,6-Trinitrotoluene (TNT);",2005,"USA"
"IDENTIFICATION OF EXPLOSIVE SUBSTANCES THROUGH IMPROVED SIGNALS OBTAINED BY A PORTABLE RAMAN SPECTROMETER","Pentolite;",2012,"Colombia,Spain,USA"
"IDENTIFICATION OF EXPLOSIVE USING THE SPECTRUM DYNAMICS OF REFLECTED THZ AND GHZ RADIATION","",2010,"Russia,USA"
"IDENTIFICATION OF EXPLOSIVES AND EXPLOSIVE FORMULATIONS USING LASER ELECTROSPRAY MASS SPECTROMETRY","Cyclotrimethylene-Trinitramine (RDX);Hexamethylene Triperoxide Diamine (HMTD);Triacetone Triperoxide (TATP);",2010,"USA"
"IDENTIFICATION OF EXPLOSIVES WITH TWO DIMENSIONAL ULTRAVIOLET RESONANCE RAMAN SPECTROSCOPY","2,4,6-Trinitrotoluene (TNT);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Pentaerythritol Tetranitrate (PETN);",2008,"USA"
"IDENTIFICATION OF HIGH EXPLOSIVES USING SINGLE PARTICLE AEROSOL MASS SPECTROMETRY","2,4,6-Trinitrotoluene (TNT);Composition B;Cyclotrimethylene-Trinitramine (RDX);Pentaerythritol Tetranitrate (PETN);",2007,"USA"
"IDENTIFICATION OF HOMEMADE INORGANIC EXPLOSIVES BY ION CHROMATOGRAPHIC ANALYSIS OF POST BLAST RESIDUES","",2008,"Australia"
"IDENTIFICATION OF IMPROVISED EXPLOSIVES RESIDUES USING PHYSICAL CHEMICAL ANALYTICAL METHODS UNDER REAL CONDITIONS AFTER AN EXPLOSION","Nitromethane (NM);Tetranitromethane (TNM);",2016,"Czech Republic"
"IDENTIFICATION OF IMPROVISED INORGANIC EXPLOSIVES DEVICES BY ANALYSIS OF POSTBLAST RESIDUES USING ION CHROMATOGRAPHY AND CAPILLARY ELECTROPHORESIS","",2020,NA
"IDENTIFICATION OF INORGANIC ANIONS BY GAS CHROMATOGRAPHY MASS SPECTROMETRY","",2006,NA
"IDENTIFICATION OF INORGANIC IMPROVISED EXPLOSIVE DEVICES BY ANALYSIS OF POSTBLAST RESIDUES USING PORTABLE CAPILLARY ELECTROPHORESIS INSTRUMENTATION AND INDIRECT PHOTOMETRIC DETECTION WITH A LIGHT EMITTING DIODE","Ammonium Nitrate (AN);Black Powder;",2007,"Australia,Ireland"
"IDENTIFICATION OF INORGANIC IMPROVISED EXPLOSIVE DEVICES USING SEQUENTIAL INJECTION CAPILLARY ELECTROPHORESIS AND CONTACTLESS CONDUCTIVITY DETECTION","",2011,"Australia"
"IDENTIFICATION OF INORGANIC OXIDIZING SALTS IN HOMEMADE EXPLOSIVES USING FOURIER TRANSFORM INFRARED SPECTROSCOPY","Ammonium Nitrate (AN);Black Powder;Composition B;",2019,"China"
"IDENTIFICATION OF LANDMINES AND IEDS USING COMPACT FUSION NEUTRON SOURCES ON DRONES","Composition A;",2017,"USA"
"IDENTIFICATION OF NITRATE ESTER EXPLOSIVES BY LIQUID CHROMATOGRAPHY ELECTROSPRAY IONIZATION AND ATMOSPHERIC PRESSURE CHEMICAL IONIZATION MASS SPECTROMETRY","Ammonium Chloride;Ammonium Nitrate (AN);Ethylene Glycol Dinitrate (EGDN);Nitroglycerin (NG);Pentaerythritol Tetranitrate (PETN);",2002,"USA"
"IDENTIFICATION OF NITRO EXPLOSIVES BY DIRECT ANALYSIS IN REAL TIME TIME OF FLIGHT MASS SPECTROMETRY","2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);Pentaerythritol Tetranitrate (PETN);",2017,"China"
"IDENTIFICATION OF POST BLAST EXPLOSIVE RESIDUES USING DIRECT ANALYSIS IN REAL TIME AND MASS SPECTROMETRY DART MS","Hexamethylene Triperoxide Diamine (HMTD);Methyl Ethyl Ketone Peroxide (MEKP);Triacetone Triperoxide (TATP);",2019,"Canada"
"IDENTIFICATION OF POSTBLAST RESIDUES BY DART HIGH RESOLUTION MASS SPECTROMETRY COMBINED WITH MULTIVARIATE STATISTICAL ANALYSIS OF THE KENDRICK MASS DEFECT","",2019,"France"
"IDENTIFICATION OF PREMIXED FLAME PROPAGATION MODES USING CHEMICAL EXPLOSIVE MODE ANALYSIS","",2019,"USA,Korea South"
"IDENTIFICATION OF THE EMPLACEMENT OF IMPROVISED EXPLOSIVE DEVICES BY EXPERIENCED MISSION PAYLOAD OPERATORS","",2017,"USA"
"IDENTIFICATION OF THE EXPLOSIVE MIXTURES USING LASER INDUCED BREAKDOWN SPECTROSCOPY LIBS","",2021,"India"
"IDENTIFICATION OF THE NITROAROMATIC EXPLOSIVES IN POST BLAST SAMPLES BY ONLINE SOLID PHASE EXTRACTION USING MOLECULARLY IMPRINTED SILICA SORBENT COUPLED WITH REVERSED PHASE CHROMATOGRAPHY","1,3,5-Trinitrobenzene (TNB);2,4-Dinitrotoluene (DNT);2,4,6-Trinitrotoluene (TNT);Dinitrobenzene (DNB);Dinitrotoluene (DNT);Nitrotoluene (NT);Tetryl;",2013,"France"
"IDENTIFICATION OF THIOCYANATES BY GAS CHROMATOGRAPHY Ñ MASS SPECTROMETRY IN EXPLOSIVE RESIDUES USED AS A POSSIBLE MARKER TO INDICATE BLACK POWDER USAGE","Black Powder",2019,"Greece"
"IDENTIFYING EXPLOSIVES BY CHEMOMETRICS WITH TERAHERTZ SPECTRAL IMAGING","",2015,NA
"IDENTIFYING EXPLOSIVES USING BROADBAND MILLIMETER WAVE IMAGING","",2017,"USA"
"IDENTIFYING RAMAN AND INFRARED VIBRATIONAL MOTIONS OF ERYTHRITOL TETRANITRATE","Erythritol Tetranitrate (ETN)",2015,"USA"
"IDENTIFYING THERMAL DECOMPOSITION PRODUCTS OF NITRATE ESTER EXPLOSIVES USING GAS CHROMATOGRAPHY VACUUM ULTRAVIOLET SPECTROSCOPY AN EXPERIMENTAL AND COMPUTATIONAL STUDY","Nitroglycerin (NG);",2020,"USA"
"IDENTITY CONFIRMATION OF DRUGS AND EXPLOSIVES IN ION MOBILITY SPECTROMETRY USING A SECONDARY DRIFT GAS","",2007,"USA"
"IGNITION AND COMBUSTION CHARACTERIZATION OF CA IO3 2 BASED PYROTECHNIC COMPOSITES WITH B AL AND TI","",2018,"USA"
"IGNITION AND COMBUSTION DEVELOPMENTS OF GRANULAR EXPLOSIVE RDX HMX IN RESPONSE TO MILD IMPACT LOADING","Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX)",2020,"China"
"IGNITION AND EXPLOSION RISKS OF NANOPOWDERS","",2010,"France"
"IGNITION OF A CONFINED HIGH EXPLOSIVE UNDER LOW VELOCITY IMPACT","Cyclotetramethylene-Tetranitramine (HMX);",2009,"France"
"IGNITION OF FULLY DENSE NANOCOMPOSITE THERMITE POWDERS BY AN ELECTRIC SPARK","Composition A;Thermite",2014,"USA"
"IGNITION OF NANOCOMPOSITE THERMITES BY ELECTRIC SPARK AND SHOCK WAVE","Thermite",2014,"USA"
"IGNITION OF ORGANIC EXPLOSIVE MATERIALS BY A COPPER OXIDE FILM ABSORBING A LASER PULSE","1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Pentaerythritol Tetranitrate (PETN);",2018,"Russia"
"IMAGING FINDINGS IN PATIENTS AFTER THE BOMB EXPLOSION IN SOMALIA ON DECEMBER 28 2019","",2021,"Somalia"
"IMAGING STAND OFF DETECTION OF EXPLOSIVES BY QUANTUM CASCADE LASER BASED BACKSCATTERING SPECTROSCOPY","2,4,6-Trinitrotoluene (TNT);Pentaerythritol Tetranitrate (PETN);",2010,"Germany"
"IMAGING STANDOFF DETECTION OF EXPLOSIVES USING WIDELY TUNABLE MIDINFRARED QUANTUM CASCADE LASERS","2,4,6-Trinitrotoluene (TNT);Pentaerythritol Tetranitrate (PETN);",2010,"Germany"
"IMAGING STANDOFF TRACE DETECTION OF EXPLOSIVES USING IR LASER BASED BACKSCATTERING","2,4,6-Trinitrotoluene (TNT);Ammonium Nitrate (AN);Cyclotrimethylene-Trinitramine (RDX);Pentaerythritol Tetranitrate (PETN);",2016,"Germany"
"IMIDAZOLYLMETHYLPYRENE SENSOR FOR DUAL OPTICAL DETECTION OF EXPLOSIVE CHEMICAL 2 4 6 TRINITROPHENOL","Picric Acid (PA)",2017,"Thailand"
"IMINE ORGANIC CAGES DERIVED FROM TETRAPHENYLETHYLENE DIALDEHYDES EXHIBITING AGGREGATION INDUCED EMISSION AND EXPLOSIVES DETECTION","Dinitrotoluene (DNT);Nitrotoluene (NT);",2021,"China"
"IMMEDIATE ONE STEP LIME PRECIPITATION AND ATMOSPHERIC CARBONATION AS PRE TREATMENT FOR LOW BIODEGRADABLE AND HIGH NITROGEN WASTEWATERS A CASE STUDY OF EXPLOSIVES INDUSTRY","Ammonium Nitrate (AN);",2020,"Portugal"
"IMPACT OF TRANSGENIC TOBACCO ON TRINITROTOLUENE TNT CONTAMINATED SOIL COMMUNITY","2,4,6-Trinitrotoluene (TNT)",2007,"UK"
"IMPACT SENSITIVITY AND MOISTURE ADSORPTION ON THE SURFACE OF CL 20 TNT COCRYSTAL BY MOLECULAR DYNAMICS SIMULATION","2,4,6-Trinitrotoluene (TNT);Hexanitrohexaazaisowurtzitane (CL-20)",2019,"China"
"IMPACT SENSITIVITY INVESTIGATIONS OF INDIVIDUAL EXPLOSIVES SOME EXPERIMENTAL AND CALCULATING APPROACHES","",2013,NA
"IMPEDIMETRIC DETECTION OF TRINITROTOLUENE BY USING A GLASSY CARBON ELECTRODE MODIFIED WITH A GOLD NANOPARTICLE FULLERENE COMPOSITE AND AN APTAMER IMPRINTED POLYDOPAMINE","2,4,6-Trinitrotoluene (TNT)",2017,"Iran"
"IMPLEMENTATION OF CRSN IN MOBILE PHONES FOR DETECTION OF EXPLOSIVES","",2014,NA
"IMPLEMENTATION OF DART AND DESI IONIZATION ON A FIELDABLE MASS SPECTROMETER","",2008,"USA"
"IMPORTANCE OF THE CONSIDERATION OF ANHARMONIC MOTION IN CHARGE DENSITY STUDIES A COMPARISON OF VARIABLE TEMPERATURE STUDIES ON TWO EXPLOSIVES RDX AND HMX","Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX)",2011,"USA,Russia"
"IMPROVED ACCURACY AND PRECISION IN 15NAIR MEASUREMENTS OF EXPLOSIVES UREA AND INORGANIC NITRATES BY ELEMENTAL ANALYZER ISOTOPE RATIO MASS SPECTROMETRY USING THERMAL DECOMPOSITION","Composition A;",2015,"USA"
"IMPROVED ANALYSIS OF EXPLOSIVES SAMPLES WITH ELECTROSPRAY IONIZATION HIGH RESOLUTION ION MOBILITY SPECTROMETRY ESI HRIMS","Pentaerythritol Tetranitrate (PETN);Triacetone Triperoxide (TATP);",2010,"USA"
"IMPROVED DETERMINATION OF FEMTOGRAM LEVEL ORGANIC EXPLOSIVES IN MULTIPLE MATRICES USING DUAL SORBENT SOLID PHASE EXTRACTION AND LIQUID CHROMATOGRAPHY HIGH RESOLUTION ACCURATE MASS SPECTROMETRY","",2019,"UK,Ireland"
"IMPROVED EXPLOSIVE COLLECTION AND DETECTION WITH RATIONALLY ASSEMBLED SURFACE SAMPLING MATERIALS","2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);Nitroglycerin (NG);Pentaerythritol Tetranitrate (PETN);Triacetone Triperoxide (TATP);",2016,"USA"
"IMPROVED N14 NUCLEAR QUADRUPOLE RESONANCE DETECTION OF TRINITROTOLUENE USING POLARIZATION TRANSFER FROM PROTONS TO N14 NUCLEI","2,4,6-Trinitrotoluene (TNT)",2007,NA
"IMPROVED SELECTIVITY FOR THE DETERMINATION OF TRINITROTOLUENE THROUGH REACTIVE STAGE TANDEM ION MOBILITY SPECTROMETRY AND A QUANTITATIVE MEASURE OF SOURCE BASED SUPPRESSION OF IONIZATION","2,4,6-Trinitrotoluene (TNT);Nitroglycerin (NG)",2021,"Spain,USA"
"IMPROVED SENSING PERFORMANCE FROM METHIONINE CAPPED CDTE AND CDTE ZNS QUANTUM DOTS FOR THE DETECTION OF TRACE AMOUNTS OF EXPLOSIVE CHEMICALS IN LIQUID MEDIA","Dinitrotoluene (DNT);Nitrotoluene (NT);",2013,"India,Korea South"
"IMPROVED SENSING USING SIMULTANEOUS DEEP UV RAMAN AND FLUORESCENCE DETECTION II","",2014,"USA"
"IMPROVED THERMAL NEUTRON ACTIVATION SENSOR FOR DETECTION OF BULK EXPLOSIVES","Trinitroaniline (TNA);",2012,"Canada"
"IMPROVEMENT OF EXPLOSIVE DETECTION WITH A FLUORESCENT SENSOR USING A HEATING DEVICE","2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);",2014,"France"
"IMPROVEMENTS IN PHOTOSTABILITY AND SENSING PROPERTIES OF EUVO4 NANOPARTICLES BY MICROWAVE ASSISTED SOLÑGEL ROUTE FOR DETECTION OF H2O2 VAPORS","",2016,"France"
"IMPROVEMENTS IN PHOTOSTABILITY AND SENSING PROPERTIES OF EUVO4 NANOPARTICLES BY MICROWAVE ASSISTED SOLÒGEL ROUTE FOR DETECTION OF H2O2 VAPORS","",2016,"France"
"IMPROVEMENTS IN THE VAPOR TIME PROFILE ANALYSIS OF EXPLOSIVE ODORANTS USING SOLID PHASE MICROEXTRACTION","",2016,"USA"
"IMPROVEMENTS TO AN EXPLOSIVES DETECTION ALGORITHM BASED ON ACTIVE NEUTRON INTERROGATION USING STATISTICAL MODELING","",2016,"USA"
"IMPROVING 14N NUCLEAR QUADRUPOLE RESONANCE DETECTION OF TRINITROTOLUENE USING OFF RESONANCE EFFECTS","2,4,6-Trinitrotoluene (TNT)",2009,"Slovenia"
"IMPROVING ION MOBILITY SPECTROMETRY DETECTION METHODS FOR TRACE FORENSICS AND MILITARY FIELD APPLICATIONS","",2016,NA
"IMPROVING THE DESIGN OF ATOMIC MAGNETOMETER ARRAYS FOR RF INTERFERENCE MITIGATION IN NQR DETECTION OF EXPLOSIVES","",2017,"USA"
"IMPROVING THE DETECTION OF EXPLOSIVES IN A MOX CHEMICAL SENSORS ARRAY WITH LSTM NETWORKS","2,4,6-Trinitrotoluene (TNT);",2020,"Canada,Ecuador"
"IMPROVING THE EXPLOSIVE PERFORMANCE OF ALUMINUM NANOPARTICLES WITH ALUMINUM IODATE HEXAHYDRATE AIH","2,4,6-Trinitrotoluene (TNT);",2018,"USA"
"IMPROVISED DETONATOR TRIAL","",2007,NA
"IMPROVISED EXPLOSIVE DEVICE THE PROBLEM OF DEFINITION","",2011,"USA"
"IMPROVISED EXPLOSIVE DEVICES","",2013,"Canada"
"IMPROVISED EXPLOSIVE DEVICES ASSESSING THE GLOBAL RISK FOR USE IN TERRORISM","",2020,NA
"IMPROVISED EXPLOSIVE DEVICES IN SOUTHERN AFGHANISTAN AND WESTERN PAKISTAN 2002 2009","",2011,"USA"
"IMPROVISED EXPLOSIVE DEVICES PIPE BOMBS","",2001,"USA,Brazil"
"IMPROVISED EXPLOSIVES","Ammonium Nitrate (AN);Hexamethylene Triperoxide Diamine (HMTD);Triacetone Triperoxide (TATP);",2013,"New Zealand"
"IMPROVISED EXPLOSIVES CHARACTERISTICS DETECTION AND ANALYSIS","",2011,"USA"
"IMPROVISED EXPLOSIVES X RAY DETECTION EUTHECTICS OF ERYTHRITOL TETRANITRATE",";Erythritol Tetranitrate (ETN)",2017,NA
"IMPURITY PROFILING OF TRINITROTOLUENE USING VACUUM OUTLET GAS CHROMATOGRAPHY MASS SPECTROMETRY","2,4-Dinitrotoluene (DNT);2,4,6-Trinitrotoluene (TNT);Dinitrobenzene (DNB);Dinitrotoluene (DNT);Nitroglycerin (NG)",2014,"Netherlands"
"IN FIELD TESTS OF THE EURITRACK TAGGED NEUTRON INSPECTION SYSTEM","",2008,"France,Croatia,Italy,Poland,Sweden"
"IN SITU DETECTION OF SINGLE PARTICLES OF EXPLOSIVE ON CLOTHING WITH CONFOCAL RAMAN MICROSCOPY","2,4,6-Trinitrotoluene (TNT);4,10-Dinitro-2,6,8,12-Tetraoxa-4,10-Diazawurtzitane (TEX);Ammonium Nitrate (AN);Pentaerythritol Tetranitrate (PETN);",2009,"UK"
"IN SITU EXPLOSIVE DETECTION USING A MINIATURE PLASMA ION SOURCE AND A PORTABLE MASS SPECTROMETER","Cyclotrimethylene-Trinitramine (RDX);Nitroglycerin (NG);Pentaerythritol Tetranitrate (PETN);Tetryl;",2012,"USA"
"IN SITU SYNTHESIS OF COBALT ALGINATE AMMONIUM PERCHLORATE COMPOSITE AND ITS LOW TEMPERATURE DECOMPOSITION PERFORMANCE","Ammonium Perchlorate",2018,"China"
"IN SITU SYNTHESIZED CARBON NANOTUBE NETWORKS ON A MICROCANTILEVER FOR SENSITIVE DETECTION OF EXPLOSIVE VAPORS","2,4,6-Trinitrotoluene (TNT);",2013,"China"
"IN SITU TRACE DETECTION OF PEROXIDE EXPLOSIVES BY DESORPTION ELECTROSPRAY IONIZATION AND DESORPTION ATMOSPHERIC PRESSURE CHEMICAL IONIZATION","Hexamethylene Triperoxide Diamine (HMTD);Nitroglycerin (NG);Triacetone Triperoxide (TATP);",2008,"USA"
"IN SITU VISUALIZATION OF PARTICLE MOTIONS DURING WIPE SAMPLING OF EXPLOSIVES AND OTHER TRACE PARTICULATE MATERIALS","4,10-Dinitro-2,6,8,12-Tetraoxa-4,10-Diazawurtzitane (TEX);",2019,"USA"
"IN SITU X RAY OBSERVATIONS OF ULTRASOUND INDUCED EXPLOSIVE DECOMPOSITION","",2019,"USA"
"IN VIVO AND IN VITRO EVALUATION OF THE ACUTE TOXICITY THE GENOTOXICITY AND THE IRRITATION POTENCY OF TWO HEXACHLOROETHANE BASED PYROTECHNIC SMOKES","2,4,6-Trinitrotoluene (TNT);",2007,"Finland"
"INCORPORATION AND MINERALIZATION OF TNT AND OTHER ANTHROPOGENIC ORGANICS BY NATURAL MICROBIAL ASSEMBLAGES FROM A SMALL TROPICAL ESTUARY","2,4,6-Trinitrotoluene (TNT);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX)",2013,"USA"
"INCORPORATION OF 2 4 6 TRINITROTOLUENE TNT TRANSFORMING BACTERIA INTO EXPLOSIVE FORMULATIONS","2,4,6-Trinitrotoluene (TNT);Dinitrotoluene (DNT)",2009,"Austria"
"INCORPORATION OF HIGH EXPLOSIVES INTO NANO ALUMINUM BASED MICROSPHERES TO IMPROVE REACTIVITY","Hexanitrohexaazaisowurtzitane (CL-20);",2020,"China"
"INCREASED HANDLING SENSITIVITY OF MOLTEN ERYTHRITOL TETRANITRATE ETN","Erythritol Tetranitrate (ETN);Pentaerythritol Tetranitrate (PETN);Triacetone Triperoxide (TATP)",2019,"USA"
"INCREASING THE ENVIRONMENTAL SAFETY OF THE INITIATING EXPLOSIVES PRODUCTION","4,6-Dinitrobenzofuroxan (DNBF);Styphnic Acid;",2021,"Russia"
"INCREASING THE HIGH VOLTAGE CAPACBILITIES AND EXPLORING PARAMETER SPACE OF AN INTERTIAL ELECTROSTATIC CONFINEMENT FUSION NEUTRON SOURCE FOR THE DETECTION OF CHEMICAL EXPLOSIVES","",2017,NA
"INCREASING THE PERSONNEL SAFETY OF A LANDMINE DETECTION SYSTEM USING PROPER SHIELDING MATERIALS","",2009,"Iran"
"INCREASING THE SELECTIVITY AND SENSITIVITY OF GAS SENSORS FOR THE DETECTION OF EXPLOSIVES","",2014,NA
"INDICATING INCONSISTENCY OF DESENSITIZING HIGH EXPLOSIVES AGAINST IMPACT THROUGH RECRYSTALLIZATION AT THE NANOSCALE","Cyclotrimethylene-Trinitramine (RDX);",2017,"France"
"INDIRECT DETECTION OF EXPLOSIVE VAPOURS BY THERMAL DISSOCIATION CAVITY RING DOWN SPECTROSCOPY","",2018,NA
"INDIRECT DETERMINATION OF PENTAERYTHRITOL TETRANITRATE PETN WITH A GOLD NANOPARTICLES BASED COLORIMETRIC SENSOR","2,4,6-Trinitrotoluene (TNT);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Pentaerythritol Tetranitrate (PETN);Pentolite",2017,"Turkey"
"INERT AND NONTOXIC EXPLOSIVE SIMULANTS AND METHOD OF PRODUCTION FOR USE IN TRAINING OR TESTING OF DETECTION SYSTEMS","",2013,NA
"INFLUENCE OF AL CONTENT AND SURROUNDING MEDIUM ON THE ENERGY OUTPUT OF CYCLOTRIMETHYLENETRINITRAMINE RDX AL WAX EXPLOSIVES","Cyclotrimethylene-Trinitramine (RDX)",2021,"China"
"INFLUENCE OF CARBON DEPOSITS AND SUBSEQUENT SILYLATION OF SILICA GEL ON SORPTION EFFICIENCY OF EXPLOSIVE NITRAMINES","",2015,"Poland,Ukraine"
"INFLUENCE OF DESTRUCTOR CASE TYPE ON BEHAVIOUR OF FRAGMENTS IN MILITARY VEHICLES ACTIVE PROTECTION SYSTEM","",2014,NA
