"","AIKeywords"
"4163","AMBIENT MS"
"4164","MOLECULAR SPECIES"
"4165","AMBIENT IONIZATION METHODS"
"4166","DESI MS"
"4167","OXIDANTS"
"4168","PERCHLORATE AND CHLORATE IONS"
"4169","API"
"4170","ELECTRON CAPTURE"
"4171","HELIUM IONIZATION"
"4172","NEGATIVE IONS"
"4173","CSIA"
"4174","ISOTOPE FRACTIONATION"
"4175","THERMO-LABILE COMPOUND"
"4176","2-CHLORO-4-NITROTOLUENE"
"4177","4-CHLORO-2-NITROTOLUENE"
"4178","FT-RAMAN"
"4179","HIGH RESOLUTION"
"4180","CALCIUM CARBONATE (CACO3)"
"4181","PRESSURE-SENSITIVE ADHESIVE"
"4182","ELLIPSOMETRY"
"4183","TERAHERTZ RANGE"
"4184","COMPLEX REFRACTIVE INDEX"
"4185","TUNABLE LASER"
"4186","IR ABSORPTION SPECTROSCOPY"
"4187","LASERS"
"4188","OPTICAL PARAMETRIC OSCILLATORS"
"4189","PROXIMAL DETECTION"
"4190","H-BOND"
"4191","LONG-TERM AGEING"
"4192","TD-50"
"4193","UV-VIS"
"4194","ANALYTE DETECTION"
"4195","EXPLOSIVES PARTICLES DETECTION"
"4196","MULTI-SPECTRAL IMAGING"
"4197","CHEMICAL HAZARDS"
"4198","IN-FIELD DETECTION"
"4199","NATIONAL SECURITY"
"4200","NONINVASIVE DETECTION"
"4201","DEPTH PROFILING"
"4202","IN-FIELD SCREENING"
"4203","TIME-RESOLVED SORS"
"4204","CARS"
"4205","CROSS-SECTION"
"4206","SOLID STATE"
"4207","SOLUTION PHASE"
"4208","SERS DETECTION"
"4209","FEATURE EXTRACTION"
"4210","SPECTRAL DATABASE"
"4211","EXPERT SYSTEMS"
"4212","PATTERN CLASSIFICATION"
"4213","RAMAN SPECTROGRAPHY"
"4214","STATISTIC MODELS"
"4215","EXPLOSIVE SUBSTANCES"
"4216","RAMAN PORTABLE"
"4217","PORTABLE RAMAN"
"4218","NANOSTRUCTURED SURFACE"
"4219","RAMAN CHEMICAL IMAGING"
"4220","CHEMICAL IMAGING"
"4221","FIBER SENSOR"
"4222","MICROSTRUCTURED OPTICAL FIBERS"
"4223","BIOMOLECULES"
"4224","INGAAS"
"4225","MINERALS"
"4226","PORTABLE 1064 NM RAMAN"
"4227","3-NITRO-1,2,4-TRIAZOL-3-ONE"
"4228","DEEP ULTRA VIOLET"
"4229","MULTIPLE EXCITATION WAVELENGTHS"
"4230","RESONANCE RAMAN SPECTROSCOPY"
"4231","STATISTICAL"
"4232","SURFACE"
"4233","CHIP-SCALE CALORIMETERS"
"4234","FINITE ELEMENT ANALYSIS"
"4235","POTASSIUM CHLORATE, DECOMPOSITION MECHANISM"
"4236","TG-DSC-FTIR"
"4237","PNIMMO"
"4238","DIFFERENTIAL SCANNING CALORIMETER"
"4239","TETRAZOLIUM SALTS"
"4240","AZIDE POLYMERS"
"4241","DOUBLE BASE"
"4242","ENTHALPY OF EVAPORATION"
"4243","EVAPORATION"
"4244","KINETICS OF EVAPORATION"
"4245","INORGANIC PEROXIDES"
"4246","MATERIAL SAFETY DATA SHEETS"
"4247","ORGANIC PEROXIDES"
"4248","RUNAWAY REACTION"
"4249","C4"
"4250","CYCLIC NITRAMINES"
"4251","CDSE QUANTUM DOTS"
"4252","CONCEALED WEAPONS"
"4253","MICRO ANTENNA"
"4254","MILLIMETRE WAVE"
"4255","NANO-ANTENNA"
"4256","SIMULATION"
"4257","DYE"
"4258","METAL-ENHANCED FLUORESCENCE"
"4259","SURFACE ENERGY TRANSFER"
"4260","ELECTROCHEMICAL METHOD"
"4261","NANOTUBES"
"4262","TITANIUM OXIDE"
"4263","CHEMIRESISTORS"
"4264","NANOSPRINGS"
"4265","FIELD-EFFECT TRANSISTORS"
"4266","GRAPHENE QUANTUM DOTS"
"4267","BIONANOTECHNOLOGY"
"4268","TEMPLATE SYNTHESIS"
"4269","2,4,6-TRINITROTOLUENE DETECTION"
"4270","ORDERED GOLD NANOSTRUCTURE"
"4271","ELECTROSPINNING"
"4272","NANOFIBERS"
"4273","PORPHYRIN"
"4274","ELECTROOLFACTOGRAM"
"4275","EXPLOSIVE ODORANTS"
"4276","SNIFFER DOGS"
"4277","FIELD-EFFECT TRANSISTOR"
"4278","LABEL-FREE"
"4279","ELECTROCATALYST"
"4280","ELECTROCHEMICAL IMPEDANCE SPECTROSCOPY"
"4281","ELECTRODEPOSITION"
"4282","SILVER NANODENDRITES"
"4283","SOFT TEMPLATE"
"4284","CARBON NANOTUBE (CNT)"
"4285","ENERGETIC CHEMICAL"
"4286","MICROCALORIMETER"
"4287","CHEMICAL AND BIOLOGICAL THREAT AGENTS"
"4288","COLORIMETRIC SENSORS"
"4289","FLUORIMETRIC SENSORS"
"4290","FUNCTIONALIZED GOLD NANOPARTICLES"
"4291","SPECTROSCOPIC SENSOR"
"4292","HYDROGEN PEROXIDE SENSOR"
"4293","METAL-PHTHALOCYANINES"
"4294","NANOCRYSTAL METAL-ORGANIC FRAMEWORK"
"4295","3-AMINOPROPYLTRIETHOXYSILANE (APTES)"
"4296","ACID-BASE PAIRING INTERACTION"
"4297","MN DOPED ZNS QDS"
"4298","ROOM-TEMPERATURE PHOSPHORESCENCE (RTP)"
"4299","DENSITY FUNCTIONAL THEORETICAL APPROACH"
"4300","EXPLOSIVE DNT"
"4301","MACROCYCLIC"
"4302","TRIANGULAR GOLD NANOPRISMS"
"4303","AGGREGATED-INDUCED EMISSION"
"4304","LAYER-BY-LAYER SELF-ASSEMBLED FILMS"
"4305","TETRAPHENYLETHENE DERIVATIVE"
"4306","VOLATILE OF SOLID NITROAROMATICS"
"4307","COBALT-DOPED (COD) ZNS QDS"
"4308","HYBRID RATIOMETRIC CHEMOSENSOR"
"4309","RAYLEIGH SCATTERING (RS)"
"4310","MOLECULAR RECOGNITION"
"4311","SURFACE ACOUSTIC WAVE"
"4312","VAPOR SENSORS"
"4313","MOLECULARLY IMPRINTED POLYMER FILM"
"4314","ELECTROSTATIC PARTICLE PRECIPITATOR"
"4315","PARTICLE SAMPLING"
"4316","AIR CHANGE"
"4317","DANGEROUS GOODS"
"4318","FREIGHT CONTAINER"
"4319","LOWER EXPLOSIVE LIMIT"
"4320","PERMEATION"
"4321","CALIX[4]PYRROLE"
"4322","CANTILEVER SENSOR"
"4323","DVD-ROM"
"4324","OPTICAL READ-OUT"
"4325","TETRATHIAFULVALENE"
"4326","2 DIMENSIONAL CONVOLUTION"
"4327","RECOGNITION"
"4328","EXPLOSIVE AGENTS"
"4329","FABRICS"
"4330","GORE-TEX"
"4331","TEXTILE"
"4332","WEARABLE SENSORS"
"4333","AGGREGATION"
"4334","GOLD NANOPARTICLE"
"4335","OFET"
"4336","POLYMER COMPOSITE"
"4337","EXPLOSION MECHANICS"
"4338","ROCK EMULSION EXPLOSIVE"
"4339","SHOCK WAVE"
"4340","TEST"
"4341","TNT EQUIVALENT COEFFICIENT"
"4342","AUTOMATION"
"4343","HIGH-VOLUME PROCESSING"
"4344","PARTICLE IMPACTOR"
"4345","MICELLAR ELECTROKINETIC CHROMATOGRAPHY"
"4346","SEAWATER"
"4347","STACKING"
"4348","IMPRINTING"
"4349","NONCOVALENT INTERACTIONS"
"4350","FLUORESCENT SENSORS"
"4351","SOLUTION DETECTION"
"4352","CARGO SCREENING"
"4353","CARRY-ON BAGGAGE"
"4354","FALSE-ALARM REDUCTION"
"4355","HOLD BAGGAGE"
"4356","EXPLOSIVES DETECTORS"
"4357","XEROGEL"
"4358","NONCONTACT"
"4359","SYNTHESIS OF FEATURES"
"4360","ULTRASONIC SENSORS"
"4361","WAVELETS"
"4362","CHEMO-SELECTIVE COMPOUNDS"
"4363","COLORIMETRIC SENSOR ARRAY"
"4364","CAVITY RINGDOWN SPECTROSCOPY"
"4365","FOREN-SICS"
"4366","IR DETECTION"
"4367","TRACE GAS DETECTION"
"4368","MATRIX"
"4369","SINGLE-WALLED CARBON NANOTUBES (SWCNTS), 2,3-DIMETHYLDINITROBUTANE"
"4370","ADAMANTANE MOIETIES"
"4371","LANGMUIR-BLODGETT LAYERS"
"4372","FIBER TAPER"
"4373","FIBER-OPTIC SENSOR"
"4374","FLUORESCENT TURN-OFF"
"4375","MULTIMODE FIBER"
"4376","POLYMER SENSORY FILM"
"4377","GAS DETECTORS"
"4378","OPTICAL FIBER SENSORS"
"4379","POLYMER FILMS"
"4380","THIN-FILM SENSORS"
"4381","SILICON"
"4382","X-RAY SPECTROSCOPY"
"4383","DATA FUSION"
"4384","IMAGE REGISTRATION"
"4385","MULTI-SENSOR"
"4386","CLOSED-LOOP OPTIMIZATION"
"4387","COHERENT CONTROL"
"4388","DYNAMIC NONLINEAR"
"4389","ULTRAFAST LASERS"
"4390","ANTIGEN-ANTIBODY INTERACTION"
"4391","DISPLACEMENT"
"4392","SURFACE PLASMON RESONANCE"
"4393","DIODE LASERS"
"4394","INTEGRATED OPTICS"
"4395","OPTICAL WAVEGUIDES"
"4396","RING RESONATOR"
"4397","KELVIN PROBE"
"4398","MOLECULAR IMPRINTED POLYMER"
"4399","QUARTZ CRYSTAL MICROBALANCE"
"4400","BURIALS"
"4401","GEOCHEMISTRY"
"4402","GEOPHYSICS"
"4403","GEOSCIENCE"
"4404","MULTI-SENSORS"
"4405","CONTROLLED RELEASE"
"4406","MESOPOROUS SOLIDS"
"4407","MOLECULAR GATES"
"4408","FLUOROGENIC RECOGNITION"
"4409","FLUOROPHORES"
"4410","HYBRID MATERIALS"
"4411","FIELD DETECTION"
"4412","PROPELLANT DETECTION"
"4413","THIN LAYER CHROMATOGRAPHY"
"4414","POLYMER COMPOSITE CANTILEVER"
"4415","SU-8"
"4416","J48 DECISION TREE"
"4417","LWL"
"4418","NBS"
"4419","SMO"
"4420","C-4"
"4421","DETASHEET"
"4422","SEMTEX-H"
"4423","ASSOCIATED ? PARTICLE TECHNIQUE"
"4424","DEUTERIUM TRITIUM REACTION"
"4425","TIME SPECTRUM"
"4426","CROSS-REACTIVE ARRAY"
"4427","E-NOSE"
"4428","AUTOMATIC SAMPLING"
"4429","ON-LINE"
"4430","RAPID MEASUREMENT"
"4431","1,3-DIPOLAR POLYCYCLOADDITION"
"4432","ACTIVATED AZIDE"
"4433","AGGREGATION-ENHANCED EMISSION"
"4434","CAVITY ENHNACED SECTROSCY."
"4435","EXPLOSIVE VAPOURS DETECTION K"
"4436","NITRIC OXIDE DETECTION"
"4437","NITROGEN OCIDES DETECTION"
"4438","NITROUS OXIDE DETECTION"
"4439","NO X DETECTION"
"4440","OPTOELECTRONIC SENSOR"
"4441","QUANTUNM CASCADE LASER"
"4442","AGGREGATION-INDUCED EMISSION ENHANCEMENT (AIEE)"
"4443","FUNCTIONAL POLYFLUORENE"
"4444","TETRAPHENYLETHYLENE (TPE)"
"4445","DROP-WEIGHT LOADING"
"4446","GRANULAR EXPLOSIVES"
"4447","HOT-SPOT IGNITION"
"4448","MICROSCOPIC MODEL"
"4449","COVALENT-ORGANIC FRAMEWORKS"
"4450","COVALENT-ORGANIC POLYMERS"
"4451","LUMINESCENCE PROBE"
"4452","NITROAROMATIC EXPLOSIVES DETECTION"
"4453","POROUS CONJUGATED POLYMERS"
"4454","EXISTING FIBER-OPTIC-BASED EXPLOSIVE DETECTORS"
"4455","ONE- OR TWO-FIBER ARCHITECTURE AND AFP THIN FILM, POLYMER HIGH QUALITY"
"4456","OPTICAL FIBER SENSORS AND APPLICATIONS FOR EXPLOSIVE DETECTION"
"4457","QUENCHING FOR STABLE FLUORESCENT SIGNAL LEVEL, WITH INTEGRATION TIME"
"4458","MOF FILM"
"4459","SECONDARY GROWTH"
"4460","A. MICROPOROUS MATERIALS"
"4461","A. NANOSTRUCTURE"
"4462","B. CHEMICAL SYNTHESIS"
"4463","2,4,6-TIRNITROTOLUENE"
"4464","ORDERED MESOPOROUS CARBON"
"4465","ULTRATRACE EXPLOSIVE DETECTION"
"4466","ISOMERIZATION"
"4467","MATRIX ISOLATION INFRARED SPECTROSCOPY"
"4468","QUANTUM CHEMICAL CALCULATION"
"4469","TOLUENE NITRITE"
"4470","HETEROATOM-CONTAINING POLYMERS"
"4471","LASER APPLICATIONS"
"4472","PHOTONICS"
"4473","LASER PHOTOACOUSTIC SPECTROSCOPY"
"4474","LASER RAMAN"
"4475","SURFACE-ENHANCED RAMAN SPECTROSCOPY"
"4476","EMISSION SPECTROSCOPY"
"4477","PLASMA CHEMISTRY"
"4478","PARTIAL LEAST SQUARES DISCRIMINANT ANALYSIS"
"4479","ABLATION OF ORGANIC MATERIALS"
"4480","SELECTIVE SAMPLING"
"4481","FIELD MEASUREMENT"
"4482","REMOTE ANALYSIS"
"4483","STAND-OFF ANALYSIS"
"4484","CBRNE DETECTION"
"4485","EXTERNAL CAVITY LASER"
"4486","INFRARED LASER"
"4487","†LASER PLASMA"
"4488","†ATOMIC EMISSION SPECTROSCOPY"
"4489","ORGANIC COMPOUNDS"
"4490","DECISION TREE"
"4491","HARMLESS"
"4492","CHEMOMETRIC"
"4493","MLPCA"
"4494","VARIATIONAL BAYES"
"4495","INFRARED MICROSCOPY"
"4496","FEATURE SELECTION"
"4497","GENETIC ALGORITHMS"
"4498","LASER PHOTOFRAGMENTATION"
"4499","REMPI"
"4500","RESONANCE-ENHANCED IONIZATION"
"4501","CN MOLECULAR EMISSION"
"4502","NANOSECOND"
"4503","DISTRIBUTED FEEDBACK LASER"
"4504","ORGANIC SEMICONDUCTOR"
"4505","POLYMER OF INTRINSIC MICROPOROSITY"
"4506","ENERGETIC SUBSTANCES."
"4507","LONGWAVE INFRARED SPECTRA"
"4508","LWIR"
"4509","? RAYS"
"4510","BENCHMARK"
"4511","MCNPX"
"4512","NEUTRON INELASTIC INTERACTION"
"4513","CAPTURE PROMPT GAMMA"
"4514","INELASTIC PROMPT GAMMA"
"4515","PROMPT GAMMA NEUTRON ACTIVATION (PGNAA)"
"4516","DDER"
"4517","FNRR"
"4518","NUCLEAR-REACTION-BASED SOURCE"
"4519","PULSED BEAMS"
"4520","SNM DETECTION"
"4521","INSPECTION WITH GAMMA RAYS"
"4522","NEUTRON DETECTORS (COLD, THERMAL, FAST NEUTRONS)"
"4523","NEUTRON RADIOGRAPHY"
"4524","GAMMA DETECTORS (SCINTILLATORS, CZT, HPG, HGI ETC)"
"4525","NOBLE-LIQUID DETECTORS (SCINTILLATION, IONIZATION TWO-PHASE)"
"4526","PHOTON DETECTORS FOR UV, VISIBLE AND IR PHOTONS (GAS)"
"4527","DETECTOR MODELLING AND SIMULATIONS I (INTERACTION OF RADIATION WITH MATTER, INTERACTION OF PHOTONS WITH MATTER, INTERACTION OF HADRONS WITH MATTER, ETC)"
"4528","INSPECTION WITH NEUTRONS"
"4529","MODELS AND SIMULATIONS"
"4530","CONTRABAND DETECTION"
"4531","NEUTRON APPLICATIONS"
"4532","MICROPATTERN GASEOUS DETECTORS (MSGC, GEM, THGEM, RETHGEM, MHSP, MICROPIC, MICROMEGAS, INGRID, ETC)"
"4533","EXPLOSIVES AND ILLICIT DRUGS DETECTION"
"4534","FAST NEUTRON INTERROGATION"
"4535","MATERIAL IDENTIFICATION"
"4536","NEUTRON MODERATION AND PHOTON ATTENUATION IN CARGO CONTAINERS"
"4537","GAMMA-RAY DETECTORS"
"4538","FNGR RADIOGRAPHY"
"4539","ILLICIT MATERIALS"
"4540","TRIPLE-BEAM RADIOGRAPHY"
"4541","ASSOCIATED PARTICLE IMAGING"
"4542","FAST NEUTRON ANALYSIS"
"4543","IMPROVISED EXPLOSIVE DEVICE DETECTION"
"4544","THERMAL NEUTRON ANALYSIS"
"4545","DELAYED GAMMA RAYS"
"4546","DIFFERENTIAL DIE AWAY ANALYSIS"
"4547","LINACS"
"4548","NEUTRON FISSION"
"4549","NUCLEAR MATERIAL DETECTION"
"4550","PHOTONEUTRON PRODUCTION"
"4551","PROMPT NEUTRONS"
"4552","INTERACTION OF RADIATION WITH MATTER"
"4553","SEARCH FOR RADIOACTIVE AND FISSILE MATERIALS"
"4554","NUCLEAR DETECTION"
"4555","PLASMA FOCUS"
"4556","CARGO CONTAINER"
"4557","NEUTRON SCATTER"
"4558","BURIED BULK EXPLOSIVES"
"4559","GAMMA RAYS"
"4560","NUCLEAR"
"4561","THERMAL NEUTRONS"
"4562","BULK EXPLOSIVES DETECTION"
"4563","COMPACT GAMMA-RAY SOURCE"
"4564","MONOENERGETIC GAMMA RAYS"
"4565","NEUTRON SPECTROMETER"
"4566","PHOTONEUTRON SPECTROSCOPY"
"4567","MONOCHROMATIC GAMMA RAYS"
"4568","SPECTRAL ANALYSIS"
"4569","UXO IDENTIFICATION"
"4570","252CF SOURCE"
"4571","MASS RATIO OF HYDROGEN TO NITROGEN"
"4572","MCNP CODE"
"4573","MELAMINE"
"4574","PROMPT GAMMA NEUTRON ACTIVATION ANALYSIS"
"4575","BULK HYDROGEN ANALYSIS"
"4576","HUMANITARIAN DE-MINING"
"4577","NEUTRON FLUX DETERMINATION"
"4578","NEUTRON SPECTROMETRY"
"4579","BULK MEDIA ASSAY"
"4580","REFLECTION CROSS SECTION"
"4581","GAAS SEMICONDUCTOR DETECTORS"
"4582","HDPE CONVERSION LAYER"
"4583","NEUTRON DETECTORS"
"4584","DIGITAL PULSE-HEIGHT SPECTRUM"
"4585","PULSED NEUTRON SOURCE"
"4586","FISSION"
"4587","PULSED NEUTRON GENERATOR"
"4588","UNDERWATER EXPLOSIVE DETECTION"
"4589","LINE SCANNER"
"4590","PIN PHOTODIODE"
"4591","SCINTILLATOR"
"4592","THERMAL NEUTRON IMAGING"
"4593","ASSOCIATED ALPHA PARTICLE TECHNIQUE"
"4594","DETECTION OF CONTRABAND"
"4595","FAST-NEUTRON RESONANCE RADIOGRAPHY"
"4596","TIME-RESOLVED OPTICAL READOUT"
"4597","GEANT4 TOOL KIT"
"4598","TAGGED-NEUTRON"
"4599","CONDUCTIVE GRID"
"4600","NONCONTACT DETECTION"
"4601","TERAHERTZ WAVE"
"4602","COMPONENTS DETERMINATION"
"4603","MICRO-GENETIC ALGORITHM"
"4604","MIXTURE"
"4605","MULTI-OBJECTIVE"
"4606","UNCERTAINTY ANALYSIS"
"4607","COMPLEX NATURAL RESONANCE"
"4608","CONCEALED EXPLOSIVE"
"4609","DETECTING AND IDENTIFYING"
"4610","NON-IMAGING"
"4611","PASSIVE SYSTEM"
"4612","RESONANCE FREQUENCIES"
"4613","THZ SPECTROSCOPY"
"4614","EO DENDRIMER"
"4615","FULLERENE"
"4616","TERAHERTZ GENERATION"
"4617","WIDE BROADBAND AND ULTRA-SENSITIVE"
"4618","THZ"
"4619","DIELECTRIC RESPONSE"
"4620","IED DETECTION"
"4621","S-MATRIX"
"4622","NONDESTRUCTIVE TESTING"
"4623","IDENTIFICATION OF SUBSTANCES"
"4624","METHOD OF SPECTRUM DYNAMICS ANALYSIS"
"4625","REFLECTED THZ PULSE"
"4626","SPECTROGRAM"
"4627","ABSOLUTE PHASE OF PULSE"
"4628","INVERSION OF PHASE OF PULSE"
"4629","PULSE AND SUBPULSE"
"4630","SPECTRUM"
"4631","THZ PULSE WITH A FEW CYCLES"
"4632","DETECTION AND IDENTIFICATION OF SUBSTANCES"
"4633","METHOD OF SPECTRAL DYNAMICS ANALYSIS"
"4634","SPECULAR REFLECTION"
"4635","STAND-OFF REFLECTION"
"4636","COMPOUND EXPLOSIVE"
"4637","SOLID-STATE DENSITY FUNCTIONAL THEORY"
"4638","3D GEOMETRY RECONSTRUCTION"
"4639","FAST MULTIPOLE METHOD (FMM)"
"4640","HUMAN BODY IMAGING"
"4641","INVERSE METHODS"
"4642","ITERATIVE FIELD MATRIX"
"4643","NEAR FIELD CHARACTERIZATION"
"4644","BACKSTREAMED PHOTONS"
"4645","MONTE CARLO N-PARTICLE (MCNP)"
"4646","TEMPLATE MATCHING"
"4647","RELAXOMETRY"
"4648","ULTRA LOW FIELD MRI"
"4649","ULTRA-LOW FIELD NMR"
"4650","NUCLEAR QUADRUPOLE RESONANCE(NQR)"
"4651","SIGNAL-TO-NOISE RATIO(SNR)"
"4652","SOLENOID COIL"
"4653","CONFORMERS"
"4654","LC-NMR"
"4655","INDUCTIVE MAGNETOMETERS"
"4656","LIQUID EXPLOSIVES DETECTION"
"4657","SQUID"
"4658","ULTRA-LOW FIELD MRI"
"4659","BURNUP"
"4660","DECAY TIME"
"4661","FBR"
"4662","LWR"
"4663","MOX"
"4664","NUCLEAR FORENSICS"
"4665","SPENT FUEL"
"4666","DOUBLE RESONANCE"
"4667","MULTIFREQUENCY NQR"
"4668","NUCLEAR MAGNETIC RESONANCE (NMR)"
"4669","NUCLEAR QUADRUPOLE RESONANCE (NQR)"
"4670","SELF-DIFFUSION COEFFICIENT (SDC)"
"4671","FREQUENCY SWEPT PULSES"
"4672","PROBE TUNING"
"4673","WIDELINE SPECTROSCOPY"
"4674","SSFP"
"4675","14N NQR"
"4676","MAGNETIC FIELD CYCLING NMR"
"4677","QUADRUPOLE DIPS"
"4678","T1 DISPERSION"
"4679","CRYSTAL ORIENTATION"
"4680","EDXRD"
"4681","PEAK INTENSITY"
"4682","BULK-EXPLOSIVES DETECTION"
"4683","IMPROVISED-EXPLOSIVE DEVICES"
"4684","RADIATION SAFETY"
"4685","SECURITY STANDARDS"
"4686","TECHNICAL PERFORMANCE"
"4687","TEST OBJECTS"
"4688","DETERMINISTIC SIMULATION"
"4689","ENERGY-DISPERSIVE X-RAY DIFFRACTION"
"4690","ENERGY DISPERSIVE"
"4691","NONDESTRUCTIVE DETECTING"
"4692","ELECTRICAL NEUTRON GENERATOR"
"4693","SAMPLE INTRODUCTION"
"4694","SPRAY NEBULIZATION"
"4695","COMSOL"
"4696","FEM GAS SIMULATION"
"4697","P-FAIMS"
"4698","AMBIENT"
"4699","DESORPTION/IONIZATION"
"4700","ELECTROSPRAY IONIZATION"
"4701","TWO-STEP IONIZATION"
"4702","PLANAR SOLID-PHASE MICROEXTRACTION"
"4703","TDX"
"4704","FIELD ASYMMETRIC ION MOBILITY SPECTROMETRY"
"4705","HANDHELD DETECTORS"
"4706","LIMITS OF DETECTION"
"4707","INTERMEDIATE"
"4708","REACTIVE DESI-MS"
"4709","SCHIFF-BASE REACTION"
"4710","HYDRAZINE CHEMICAL SENSOR"
"4711","I-V CHARACTERISTICS"
"4712","HERBICIDES"
"4713","PHOTOSYSTEM II"
"4714","SCREEN-PRINTED ELECTRODE"
"4715","ELECTRONIC TONGUE"
"4716","VOLTAMMETRIC SENSOR"
"4717","NANOSCIENCE"
"4718","ELECTRICAL ENGINEERING"
"4719","CONDUCTIVE POLYMER"
"4720","RECEPTOR"
"4721","THREE-DIMENSIONALLY ORDERED MACROPOROUS CARBON"
"4722","DATA ANALYSIS"
"4723","MICROCONTROLLERS"
"4724","THREE-DIMENSIONAL STRUCTURE"
"4725","2,4-DINITROPHENOL"
"4726","HYDROPHILIC MOLECULARLY IMPRINTED POLYMERS"
"4727","NICKEL FIBER"
"4728","SURFACE WATER SAMPLES"
"4729","COPPER ELECTRODE"
"4730","DISPOSABLE"
"4731","IN SITU DEVICE"
"4732","VOLTAMMETRIC"
"4733","BINDING CONSTANTS"
"4734","CHEMORESISTORS"
"4735","POLYACRYLATE"
"4736","AG/C"
"4737","ANODE"
"4738","DNT DETECTION AND OXIDATION"
"4739","ELECTRODE"
"4740","NITROGEN OXIDE SENSOR"
"4741","AU NANOPARTICLES"
"4742","ENVIRONMENTAL WATER SAMPLES"
"4743","CONCENTRATOR OF EXPLOSIVE MATERIAL VAPOURS"
"4744","EXPLOSIVE MATERIAL DETECTION"
"4745","CATION EXCHANGERS AS ELECTROLYTIC MEDIA"
"4746","AMINE FUNCTIONALIZATION"
"4747","GRAPHENE OXIDE"
"4748","JM COMPLEX"
"4749","EXPLOSIVES DISCRIMINATION"
"4750","LOW COST SENSOR TECHNOLOGY"
"4751","MIXED POTENTIAL"
"4752","CHROMITE"
"4753","LANTHANUM"
"4754","PEROVSKITE ELECTRODE"
"4755","CAPACITANCE MEASUREMENTS"
"4756","DETECTION OF VAPOR TRACES"
"4757","SURFACE MODIFICATION"
"4758","CHEMICAL MODIFICATION"
"4759","MEMS CAPACITIVE SENSORS"
"4760","VAPOR TRACE DETECTION"
"4761","CHARGE TRANSPORT"
"4762","DENDRIMER"
"4763","PERIODIC MESOPOROUS ORGANOSILICAS"
"4764","PRE-CONCENTRATION"
"4765","GLASSY CARBON"
"4766","MODIFIED"
"4767","BIOFUEL CELLS"
"4768","MITOCHONDRIA"
"4769","UNCOUPLERS"
"4770","HARMONIC FORCE FIELDS"
"4771","AUTONOMOUS"
"4772","AUV"
"4773","UNMANNED UNDERWATER VEHICLE"
"4774","UUV"
"4775","SAM"
"4776","FLUORESCENT PROTEIN"
"4777","POLYCURCUMIN ACRYLATE"
"4778","POLYCURCUMIN METHACRYLATE"
"4779","ARTIFICIAL OLFACTORY SYSTEM"
"4780","RESONANT FREQUENCY"
"4781","LIGAND SPECIFICITY"
"4782","MOLECULAR RECEPTIVE RANGE"
"4783","CIRCULAR DICHROISM"
"4784","COMPETITIVE IMMUNOASSAY"
"4785","MAGPIX"
"4786","MAGPLEX MICROSPHERES"
"4787","SINGLE CHAIN ANTIBODY"
"4788","DROSOPHILA MELANOGASTER"
"4789","TOXIC GASSES"
"4790","DENDRON"
"4791","HAPTEN"
"4792","PAMAM"
"4793","CLICK CHEMISTRY"
"4794","NANOCONJUGATES"
"4795","QDS"
"4796","ANALYTICAL METHODS"
"4797","AUTONOMOUS UNDERWATER VEHICLES"
"4798","DISPLACEMENT-BASED IMMUNOASSAY"
"4799","CHEMICAPACITOR"
"4800","EXPLOSIVES SENSOR"
"4801","MICROSENSOR"
"4802","SENSING DEVICE"
"4803","CYCLIZATION"
"4804","DIYNES"
"4805","DIAMOND NANO-PARTICLES"
"4806","GAS DETECTION"
"4807","METALLOPORPHYRINS"
"4808","CUTTP"
"4809","RR-P3HT"
"4810","SXFA"
"4811","ODOUR CLASSIFICATION"
"4812","SENSOR SIGNAL FEATURES EXTRACTION"
"4813","VOLATILE SUBSTANCE TRACES DETECTION"
"4814","DONOR-ACCEPTOR COMPLEX"
"4815","NANOBIOTECHNOLOGY"
"4816","GLOW-DISCHARGE"
"4817","OPTICAL EMISSION SPECTROMETRY"
"4818","BOTTLED LIQUID SCANNER"
"4819","MILK"
"4820","NEAR INFRARED"
"4821","REFLECTANCE"
"4822","TRANSMITTANCE"
"4823","EXPLOSIVE IDENTIFICATION"
"4824","SURFACE PLASMON-COUPLED EMISSION"
"4825","BENCHMARKING"
"4826","MONTE CARLO SIMULATIONS"
"4827","NEUTRON SPECTROSCOPY"
"4828","POLIMI"
"4829","PULSE HEIGHT DISTRIBUTIONS"
"4830","CEO2 NANOPARTICLES"
"4831","HIGH-THROUGHPUT"
"4832","TIME-SAVING"
"4833","ARTIFICIAL NANOPORE"
"4834","ION CHANNEL"
"4835","REAL-WORLD SAMPLE ANALYSIS"
"4836","SINGLE-CHANNEL RECORDING"
"4837","STOCHASTIC SENSING"
"4838","TERRORIST AGENTS"
"4839","ACOUSTIC WAVE SENSORS"
"4840","SILOXANE BASED COATINGS"
"4841","SYNERGETIC EFFECT"
"4842","FLUORESCENT SPECTRA"
"4843","MESOPOROUS SILICA FILM"
"4844","TRACE EXPLOSIVE DETECTION"
"4845","ANGULAR DISPERSIVE X-RAY DIFFRACTION"
"4846","ENERGY DISPERSIVE X-RAY DIFFRACTION"
"4847","PIXELATED DETECTOR"
"4848","ANIMAL LEARNING"
"4849","APPLIED BEHAVIOR ANALYSIS"
"4850","LAND MINES"
"4851","POUCHED RATS"
"4852","AFRICAN POUCHED RATS (CRICETOMYS GAMBIANUS)"
"4853","REMOTE EXPLOSIVES SCENT TRACING (REST)"
