"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Lv J.; Zhang K.; Wu Q.; Qin J.; Zhang X.; Cao H.; Yang H.; Tan L.","Lv, Jing (57204882116); Zhang, Kaifeng (59156127500); Wu, Qiong (57217773397); Qin, Jiayu (59156918300); Zhang, Xuyang (59157050300); Cao, Huizhi (57830080900); Yang, Haifeng (58850403600); Tan, Linghua (7402233231)","57204882116; 59156127500; 57217773397; 59156918300; 59157050300; 57830080900; 58850403600; 7402233231","Mussel-inspired poly-norepinephrine coatings as “slippy-sticky interlayer” for fabricating high-energy insensitive energetic composites","2024","Chemical Engineering Science","298","","120326","","","","0","10.1016/j.ces.2024.120326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195219150&doi=10.1016%2fj.ces.2024.120326&partnerID=40&md5=8c372ec0bea692b4f2496f9e1e5e77cb","Article","Final","","Scopus","2-s2.0-85195219150"
"Zhao X.; Zhang X.; Chen Y.; Sun Q.; Wang Z.; Song N.; Liu Y.; Pang S.; He C.","Zhao, Xinyuan (57221333766); Zhang, Xun (57226897563); Chen, Yuming (59156683300); Sun, Qi (57194695507); Wang, Zhengdi (58166331400); Song, Ningning (56375395900); Liu, Yan (57201930486); Pang, Siping (58851368400); He, Chunlin (57200218016)","57221333766; 57226897563; 59156683300; 57194695507; 58166331400; 56375395900; 57201930486; 58851368400; 57200218016","Assembling of energetic and biocidal moieties via C-N cross coupling reactions for gas-driven biocidal materials","2024","Chemical Engineering Journal","493","","152682","","","","2","10.1016/j.cej.2024.152682","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195196659&doi=10.1016%2fj.cej.2024.152682&partnerID=40&md5=d8be173206ef4f13d769eaa446bb2713","Article","Final","","Scopus","2-s2.0-85195196659"
"Liu H.; Zhao F.; Xie X.; Jiang Y.; Jiang Z.; Ruan R.; Zhang M.; Li H.; Qu W.","Liu, Hexin (56849655100); Zhao, Fengqi (36041628300); Xie, Xiao (57208865102); Jiang, Yifan (57225093744); Jiang, Zhoufeng (57212210104); Ruan, Renhui (57190580721); Zhang, Ming (57204554015); Li, Hui (56986773000); Qu, Wengang (36870697900)","56849655100; 36041628300; 57208865102; 57225093744; 57212210104; 57190580721; 57204554015; 56986773000; 36870697900","Effects of particle size of CL-20 on its thermal decomposition and combustion characteristics","2024","Fuel","369","","131555","","","","5","10.1016/j.fuel.2024.131555","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190353331&doi=10.1016%2fj.fuel.2024.131555&partnerID=40&md5=1ced2b757e1f0df84a08b0ca4f10ac71","Article","Final","","Scopus","2-s2.0-85190353331"
"Stankevich A.V.; Rasputin N.A.; Rudina A.K.; Rusinov G.L.; Filyakova V.I.; Charushin V.N.","Stankevich, Aleksandr V. (55226913500); Rasputin, Nikolay A. (57191529080); Rudina, Anisa Kh. (57838480400); Rusinov, Gennady L. (7003766045); Filyakova, Vera I. (6603636183); Charushin, Valery N. (7006350819)","55226913500; 57191529080; 57838480400; 7003766045; 6603636183; 7006350819","Kinetics and mechanism of the low-energy β-α phase transition of the second kind in 2,4-dinitroanisole","2024","Defence Technology","40","","","210","224","14","0","10.1016/j.dt.2024.04.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194043588&doi=10.1016%2fj.dt.2024.04.004&partnerID=40&md5=24dc58b2c0d7285c59f70620a479d4eb","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85194043588"
"Li W.; Zhang S.; Shi S.; Cheng X.; An C.; Wang J.; Ye B.","Li, Wenqing (58940872700); Zhang, Shimin (57195600620); Shi, Songchao (58246803200); Cheng, Xiaoying (59150701000); An, Chongwei (16401020400); Wang, Jingyu (55742763700); Ye, Baoyun (56849915500)","58940872700; 57195600620; 58246803200; 59150701000; 16401020400; 55742763700; 56849915500","Preparation of microstructure controllable CL-20/FOX-7 composite microspheres by microchannel recrystallization technology to enhance safety and combustion performance","2024","Chemical Engineering Journal","499","","155869","","","","0","10.1016/j.cej.2024.155869","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204472969&doi=10.1016%2fj.cej.2024.155869&partnerID=40&md5=ff42ac3693e0cb6115f86e2309589708","Article","Final","","Scopus","2-s2.0-85204472969"
"Sharma K.; Devi R.; Ghule V.D.; Dharavath S.","Sharma, Kalpana (58726839000); Devi, Rimpi (58190291800); Ghule, Vikas D. (35317445200); Dharavath, Srinivas (56928302700)","58726839000; 58190291800; 35317445200; 56928302700","Elucidation of the influence of trinitro-diazinotriazine isomerism on the energetic properties and stability: Insights from DFT approach","2024","Computational and Theoretical Chemistry","1241","","114931","","","","0","10.1016/j.comptc.2024.114931","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207135773&doi=10.1016%2fj.comptc.2024.114931&partnerID=40&md5=9811fc464f191c8fc0e711d582a410ac","Article","Final","","Scopus","2-s2.0-85207135773"
"Fan J.; Wang P.; Gao N.","Fan, Junyu (57193407061); Wang, Pengju (57201469693); Gao, Nao (57193668827)","57193407061; 57201469693; 57193668827","Temperature-dependent Raman spectroscopy and thermodynamic behaviors of energetic NTO crystal","2024","Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy","321","","124764","","","","1","10.1016/j.saa.2024.124764","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197084722&doi=10.1016%2fj.saa.2024.124764&partnerID=40&md5=99fcd4825aa1fa75f867db8bea2972c0","Article","Final","","Scopus","2-s2.0-85197084722"
"Singh V.; Wu T.; Tenailleau C.; Hungria T.; Estève A.; Rossi C.","Singh, Vidushi (57870787400); Wu, Tao (57189906206); Tenailleau, Christophe (6507243161); Hungria, Teresa (6507688049); Estève, Alain (7004709199); Rossi, Carole (7202652637)","57870787400; 57189906206; 6507243161; 6507688049; 7004709199; 7202652637","Investigating the reaction mechanism of zirconium as a fuel in reactive multilayer films via multimodal analysis","2024","Chemical Engineering Journal","495","","153357","","","","0","10.1016/j.cej.2024.153357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197049912&doi=10.1016%2fj.cej.2024.153357&partnerID=40&md5=b59ec239ad950fda9a2b3e4afc088933","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85197049912"
"Awan M.S.; Huang Z.; Zu X.; Xiao Q.; Ma B.","Awan, Muhammad Saqib (58960188000); Huang, Zhengxiang (8647827600); Zu, Xudong (35304379300); Xiao, Qiangqiang (35390597800); Ma, Bin (57056873900)","58960188000; 8647827600; 35304379300; 35390597800; 57056873900","Application of Lee–Tarver Model for Energetic Materials Safety Assessment Utilized in Aerospace Applications","2024","Aerospace","11","7","513","","","","0","10.3390/aerospace11070513","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199427145&doi=10.3390%2faerospace11070513&partnerID=40&md5=7b4d64d6002c5479f440c964c4888553","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85199427145"
"Chen J.; Xu J.; Xiao T.; Ma P.; Ma C.","Chen, Jun (58039316100); Xu, Jiani (57833862800); Xiao, Tingting (58039535400); Ma, Peng (57206028674); Ma, Congming (55643218400)","58039316100; 57833862800; 58039535400; 57206028674; 55643218400","Study on the regulation of ε-CL-20 by an external electric field","2024","Journal of Molecular Modeling","30","8","290","","","","1","10.1007/s00894-024-06093-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199936156&doi=10.1007%2fs00894-024-06093-x&partnerID=40&md5=1b94971b92228784be90f32e56eb23bf","Article","Final","","Scopus","2-s2.0-85199936156"
"Wang Z.-C.; Yao J.; Guo F.-W.; Li S.; Xu Y.-L.; Liu J.-H.; Shen C.; Guo X.-Y.; Yan S.; Nie J.-X.","Wang, Zi-Chao (58783286800); Yao, Jie (57226564696); Guo, Feng-Wei (57216457076); Li, Shuang (59060031700); Xu, Yi-Long (59198826500); Liu, Jun-Hui (59064824800); Shen, Chen (57212474748); Guo, Xue-Yong (7404330102); Yan, Shi (54976144700); Nie, Jian-Xin (55485731200)","58783286800; 57226564696; 57216457076; 59060031700; 59198826500; 59064824800; 57212474748; 7404330102; 54976144700; 55485731200","Mechanical response characteristics of HMX crystals under resonant acoustic mixing","2024","Propellants, Explosives, Pyrotechnics","49","8","e202400095","","","","0","10.1002/prep.202400095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197216533&doi=10.1002%2fprep.202400095&partnerID=40&md5=1a5c6ef45da6fc6885d43871a57e245f","Article","Final","","Scopus","2-s2.0-85197216533"
"G S.; Anju J.; N S.; M S.; S S.","G, Santhosh (24537937300); Anju, J. (59009088200); N, Supriya (59009690600); M, Sreejith (57219940474); S, Suraj (59009894100)","24537937300; 59009088200; 59009690600; 57219940474; 59009894100","High-nitrogen azotetrazole based pyrogen gas generating propellants: Aspects on synthesis, characterization, combustion characteristics and kinetics","2024","FirePhysChem","4","4","","301","307","6","0","10.1016/j.fpc.2024.03.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191836515&doi=10.1016%2fj.fpc.2024.03.006&partnerID=40&md5=f5121a57fd83daaaade5770e453ba2f3","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85191836515"
"Bhatia P.; Pandey K.; Kumar D.","Bhatia, Prachi (57219048240); Pandey, Krishna (57942641500); Kumar, Dheeraj (57220768511)","57219048240; 57942641500; 57220768511","Zwitterionic Energetic Materials: Synthesis, Structural Diversity and Energetic Properties","2024","Chemistry - An Asian Journal","19","17","e202400481","","","","5","10.1002/asia.202400481","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199430300&doi=10.1002%2fasia.202400481&partnerID=40&md5=fb17a51fca0e8484ab612530440bb1d3","Review","Final","","Scopus","2-s2.0-85199430300"
"Zong H.-Z.; Wang S.-W.; Ren H.; Hao G.-Z.; Xiao L.; Jiang W.","Zong, Hu-Zeng (57287972600); Wang, Su-Wei (57205701230); Ren, Hao (57883906900); Hao, Ga-Zi (56549563400); Xiao, Lei (25625395800); Jiang, Wei (56931746300)","57287972600; 57205701230; 57883906900; 56549563400; 25625395800; 56931746300","Energetic materials in 3D: an in-depth exploration of additive manufacturing techniques","2024","International Journal of Advanced Manufacturing Technology","133","7-8","","3059","3080","21","0","10.1007/s00170-024-13937-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196314373&doi=10.1007%2fs00170-024-13937-6&partnerID=40&md5=79d1eb1068d631b2c7ed449e87015ce7","Review","Final","","Scopus","2-s2.0-85196314373"
"Zamora J.A.; de Rezende A.; Nieman R.; Vaz N.; Demko A.R.; Pantoya M.L.; Tunega D.; Aquino A.J.A.","Zamora, Jerimiah A. (59258144700); de Rezende, Armando (57668327300); Nieman, Reed (55967437000); Vaz, Neil (57208908887); Demko, Andrew R. (55819464200); Pantoya, Michelle L. (6603057402); Tunega, Daniel (7004207005); Aquino, Adelia J. A. (7007005305)","59258144700; 57668327300; 55967437000; 57208908887; 55819464200; 6603057402; 7004207005; 7007005305","Modeling adsorption reactions of ammonium perchlorate on rutile and anatase surfaces","2024","Journal of Computational Chemistry","45","32","","2739","2748","9","0","10.1002/jcc.27476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201096202&doi=10.1002%2fjcc.27476&partnerID=40&md5=e0bb1c0cdcf3c0c1eb3d21d537729eb3","Article","Final","","Scopus","2-s2.0-85201096202"
"Han K.; Li S.; Tan K.; Xie Z.; Shi H.; Liu Y.; An C.; Wang J.","Han, Kai (57933261600); Li, Shijiao (58414117500); Tan, Kaixin (58288633000); Xie, Zhanxiong (57266293100); Shi, Handong (59141191400); Liu, Yi (57933180800); An, Chongwei (16401020400); Wang, Jingyu (55742763700)","57933261600; 58414117500; 58288633000; 57266293100; 59141191400; 57933180800; 16401020400; 55742763700","In situ self-crosslinking binder system − enhances the mechanical performance gain of composite energetic materials","2024","Chemical Engineering Journal","494","","152812","","","","0","10.1016/j.cej.2024.152812","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195392055&doi=10.1016%2fj.cej.2024.152812&partnerID=40&md5=b05609a96a294a5ee4039667e8922d83","Article","Final","","Scopus","2-s2.0-85195392055"
"Patel J.; Chowdhury A.; Kumbhakarna N.","Patel, Jay (58278895700); Chowdhury, Arindrajit (14024143300); Kumbhakarna, Neeraj (36598859700)","58278895700; 14024143300; 36598859700","Identification of reaction pathways for condensed phase decomposition of ammonium perchlorate using quantum mechanics calculations","2024","Combustion and Flame","269","","113700","","","","1","10.1016/j.combustflame.2024.113700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202845957&doi=10.1016%2fj.combustflame.2024.113700&partnerID=40&md5=7ea79a6f3a044edf6d6956d61beb6c1f","Article","Final","","Scopus","2-s2.0-85202845957"
"Liu Z.; Yang Y.; Sun D.; Han J.; Ma S.; Xu B.; Yuan M.","Liu, Zheng (58303313500); Yang, Yong (57193219480); Sun, Dusheng (58303669100); Han, Jianyu (58302952900); Ma, Shutao (58303313600); Xu, Bin (58302953000); Yuan, Mingyu (57232373600)","58303313500; 57193219480; 58303669100; 58302952900; 58303313600; 58302953000; 57232373600","Influence of high-reactivity energetic materials on microstructure and performance on iron-based cladding layer under low laser power","2024","Materialpruefung/Materials Testing","66","9","","1409","1424","15","0","10.1515/mt-2023-0353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201008500&doi=10.1515%2fmt-2023-0353&partnerID=40&md5=63779768b64f2902f9f623a8f8f777d0","Article","Final","","Scopus","2-s2.0-85201008500"
"Tang K.; Chen X.; Tang Z.; Qin Z.; Xu K.; Shen R.; Zhao T.; Chen S.","Tang, Kui (59138054300); Chen, Xiaoyuan (59137586400); Tang, Zhenhua (57937762000); Qin, Zhao (57201183947); Xu, Kangzhen (55573595500); Shen, Ruiqi (7202935837); Zhao, Tuan (25224016700); Chen, Suhang (57196072735)","59138054300; 59137586400; 57937762000; 57201183947; 55573595500; 7202935837; 25224016700; 57196072735","Ignition performance and mechanism of Ti/CuFe2O4 composites with high microwave sensitivity","2024","Ceramics International","50","17","","29256","29267","11","1","10.1016/j.ceramint.2024.05.221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193847410&doi=10.1016%2fj.ceramint.2024.05.221&partnerID=40&md5=d52e6a13dd93a3f17e8d7723c2485c65","Article","Final","","Scopus","2-s2.0-85193847410"
"Zhang H.-Y.; Shi Z.; Dong Y.-Y.; Wang X.-W.; Lin K.-F.; Xia D.-B.; Zhang J.; Yang Y.-L.","Zhang, Hong-Yu (57203958304); Shi, Zhe (57215346365); Dong, Ya-Yu (56797098300); Wang, Xu-Wen (57407530100); Lin, Kai-Feng (57204324919); Xia, De-Bin (56400149300); Zhang, Jian (58046810500); Yang, Yu-Lin (57204331425)","57203958304; 57215346365; 56797098300; 57407530100; 57204324919; 56400149300; 58046810500; 57204331425","Thermal shock triggers microexplosion combustion in graded fuel and oxidizer encapsulation microspheres with improved combustion efficiency","2024","Combustion and Flame","265","","113499","","","","2","10.1016/j.combustflame.2024.113499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192265750&doi=10.1016%2fj.combustflame.2024.113499&partnerID=40&md5=0032ea93c92e67caf87a322a29bb97ef","Article","Final","","Scopus","2-s2.0-85192265750"
"Hou J.; Wu J.-Y.; Zhan L.-W.; Li B.-D.","Hou, Jing (57210433954); Wu, Jun-Yue (59293236600); Zhan, Le-Wu (57031378400); Li, Bin-Dong (26642865800)","57210433954; 59293236600; 57031378400; 26642865800","Synthesis and Characterization of 2, 4, 6, 8-Tetrachitro-2, 4, 6, 8-tetraazabicyclic [3.3.0] octane; [2, 4, 6, 8-四硝基. 2, 4, 6, 8-四氮杂双环 [3.3.0] 辛烷的合成及表征]","2024","Huozhayao Xuebao/Chinese Journal of Explosives and Propellants","47","7","","601","605","4","0","10.14077/j.issn.1007-7812.202310002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201748174&doi=10.14077%2fj.issn.1007-7812.202310002&partnerID=40&md5=3a014695d3e6ac5e177ed84b27adb376","Article","Final","","Scopus","2-s2.0-85201748174"
"Ji T.; Jiang X.; Xiong J.; Yin P.; Pang S.","Ji, Tianlong (59360207100); Jiang, Xiaoyan (59239470700); Xiong, Jin (57407652500); Yin, Ping (56421457800); Pang, Siping (58851368400)","59360207100; 59239470700; 57407652500; 56421457800; 58851368400","Dicationic Methylene-Bridged Bis(1,2,4-Triazolium): Construction of Thermally Stable and Insensitive Energetic Salts","2024","ChemistrySelect","9","38","e202403134","","","","0","10.1002/slct.202403134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205911423&doi=10.1002%2fslct.202403134&partnerID=40&md5=158372b9977786530dcf4de2cac7d871","Article","Final","","Scopus","2-s2.0-85205911423"
"Bhatia P.; Ghule V.D.; Kumar D.","Bhatia, Prachi (57219048240); Ghule, Vikas D. (35317445200); Kumar, Dheeraj (57220768511)","57219048240; 35317445200; 57220768511","Time for mixing: Mixed dicationic energetic salts based on methylene bridged 4-hydroxy-3,5-dinitropyrazole and tetrazole for tunable performance","2024","Energetic Materials Frontiers","5","2","","105","111","6","7","10.1016/j.enmf.2024.05.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193630091&doi=10.1016%2fj.enmf.2024.05.001&partnerID=40&md5=3d28a4d918557407139ec47c83f669c8","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85193630091"
"Zhang R.; Xu Y.; Yang F.; Wang P.; Lin Q.; Huang H.; Lu M.","Zhang, Rongzheng (58643473700); Xu, Yuangang (57192081451); Yang, Feng (57194073996); Wang, Pengcheng (56237289100); Lin, Qiuhan (36140665200); Huang, Hui (56290102600); Lu, Ming (56233529100)","58643473700; 57192081451; 57194073996; 56237289100; 36140665200; 56290102600; 56233529100","A review of ultra-high temperature heat-resistant energetic materials","2024","Defence Technology","38","","","33","57","24","4","10.1016/j.dt.2023.09.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173947029&doi=10.1016%2fj.dt.2023.09.005&partnerID=40&md5=50f9603f7c2ee457b799d4f0aff2d707","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85173947029"
"Xie X.; Yu H.","Xie, Xueyun (57217196889); Yu, Haiping (15727060800)","57217196889; 15727060800","Deformation behavior of steel sheets under dynamic underwater impact: electric-pulse triggered energetic materials loading vs. wire explosion loading","2024","International Journal of Advanced Manufacturing Technology","133","3-4","","1715","1731","16","0","10.1007/s00170-024-13864-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194947591&doi=10.1007%2fs00170-024-13864-6&partnerID=40&md5=53fb4848b3ea039565d3020ddf32cd7c","Article","Final","","Scopus","2-s2.0-85194947591"
"Dong W.-S.; Xu M.-Q.; Hu Y.; Zhang H.; Li Z.-Y.; Yu Q.-Y.; Zhang J.-G.","Dong, Wen-Shuai (57224354137); Xu, Mei-Qi (58550929800); Hu, Yong (57216808564); Zhang, Han (58527424500); Li, Zong-You (57285880900); Yu, Qi-Yao (57201738142); Zhang, Jian-Guo (57300080700)","57224354137; 58550929800; 57216808564; 58527424500; 57285880900; 57201738142; 57300080700","One-dimensional copper-based energetic coordination polymers applied to heat-resistant primary explosive based on 4-hydroxy-3,5-dinitropyrazole","2025","Journal of Molecular Structure","1319","","139539","","","","0","10.1016/j.molstruc.2024.139539","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200916022&doi=10.1016%2fj.molstruc.2024.139539&partnerID=40&md5=806d991c374624fe17dc472f7bdaf959","Article","Final","","Scopus","2-s2.0-85200916022"
